Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);sec;Frequency (Hz);activity
101.8433968;-0.22770187260000002;-0.05008459091;-0.1896972656;101;53;Rest
101.86202359999999;-0.21102592350000002;0.139775753;-0.3316373825;101;53;Rest
101.8807094;-0.05655476451;0.3230700493;-0.6124181747;101;53;Rest
101.89955309999999;-0.1548470855;0.4380338192;-0.5510568619;101;53;Rest
101.9185824;-0.2401752472;0.4520308971;-0.3920021057;101;53;Rest
101.9376118;-0.1602954268;0.36714696880000003;-0.3161201477;101;53;Rest
101.9566411;-0.03175520897;0.1855592728;-0.2783994675;101;53;Rest
101.9756704;0.0474024117;0.0135602951;-0.3111839294;101;53;Rest
101.9946998;0.09253466129;-0.1030330658;-0.3125734329;101;53;Rest
102.01372909999999;0.1929679513;-0.1767444611;-0.2664632797;101;53;Rest
102.0327585;0.1869078279;-0.1231117249;-0.08110237122000001;101;53;Rest
102.0517878;0.19235032800000001;-0.02530193329;0.08899974823;101;53;Rest
102.07081720000001;0.0577711463;0.08791351318;0.3891811371;101;53;Rest
102.0898465;-0.07269701362;0.152173996;0.6053628922;101;53;Rest
102.10887579999999;-0.04778364301;0.1978611946;0.5527772903;101;53;Rest
102.1278755;0.000302195549;0.19507694239999998;0.3016471863;101;53;Rest
102.14653179999999;0.012627899650000001;0.11161565779999999;0.07491970062000002;102;53;Rest
102.1651881;-0.06742122768999999;0.0031399726870000003;-0.01366424561;102;53;Rest
102.1838443;0.060701191429999996;-0.08763694763;-0.21617221829999997;102;53;Rest
102.2025006;0.1369661093;-0.07931852341;-0.41515541079999996;102;53;Rest
102.2211569;0.1020222306;-0.04075956345;-0.4619731903;102;53;Rest
102.2398132;-0.1250798702;0.05400943756;-0.234621048;102;53;Rest
102.2584694;-0.0820094049;0.09117460251000001;-0.09181404114;102;53;Rest
102.2771257;-0.1746347845;0.1403431892;0.053267478939999995;102;53;Rest
102.29578199999999;-0.135196656;0.1483397484;0.233086586;102;53;Rest
102.31443829999999;0.02509498596;0.14370059970000001;0.1379508972;102;53;Rest
102.3330945;0.07736891507999999;0.1278133392;0.00994682312;102;53;Rest
102.35175079999999;0.11874681710000001;0.09744691848999999;-0.2360668182;102;53;Rest
102.3704071;0.04265996813999999;0.09550380707;-0.25756359100000004;102;53;Rest
102.38906340000001;-0.028633415699999998;0.07266235352000001;-0.1738862991;102;53;Rest
